 ,Area,Mean,Min,Max
1,1365,255,255,255
2,875,255,255,255
3,604,255,255,255
4,2531,255,255,255
5,956,255,255,255
6,1666,255,255,255
7,1261,255,255,255
8,1614,255,255,255
9,1094,255,255,255
10,1651,255,255,255
11,1512,255,255,255
12,674,255,255,255
13,984,255,255,255
14,1644,255,255,255
15,1286,255,255,255
16,1539,255,255,255
17,1459,255,255,255
18,2057,255,255,255
19,1269,255,255,255
20,1503,255,255,255
21,1395,255,255,255
22,1910,255,255,255
23,1997,255,255,255
24,895,255,255,255
25,2156,255,255,255
26,1039,255,255,255
27,2158,255,255,255
28,1252,255,255,255
29,1358,255,255,255
30,1018,255,255,255
31,296,255,255,255
32,1269,255,255,255
33,939,255,255,255
34,983,255,255,255
35,612,255,255,255
36,265,255,255,255
37,345,255,255,255
