 ,Area,Mean,Min,Max
1,205,255,255,255
2,75,255,255,255
3,147,255,255,255
4,285,255,255,255
5,239,255,255,255
6,70,255,255,255
7,171,255,255,255
8,441,255,255,255
9,192,255,255,255
10,107,255,255,255
11,208,255,255,255
12,180,255,255,255
13,198,255,255,255
14,180,255,255,255
15,134,255,255,255
16,211,255,255,255
17,79,255,255,255
18,326,255,255,255
19,324,255,255,255
20,235,255,255,255
21,191,255,255,255
22,380,255,255,255
23,305,255,255,255
24,534,255,255,255
25,322,255,255,255
26,274,255,255,255
27,321,255,255,255
28,139,255,255,255
29,321,255,255,255
30,230,255,255,255
31,356,255,255,255
32,288,255,255,255
33,360,255,255,255
34,233,255,255,255
35,240,255,255,255
36,165,255,255,255
37,600,255,255,255
38,273,255,255,255
39,163,255,255,255
40,232,255,255,255
41,325,255,255,255
42,443,255,255,255
43,392,255,255,255
44,214,255,255,255
45,229,255,255,255
46,335,255,255,255
47,290,255,255,255
48,73,255,255,255
49,198,255,255,255
50,321,255,255,255
51,262,255,255,255
52,276,255,255,255
53,184,255,255,255
54,296,255,255,255
55,251,255,255,255
56,203,255,255,255
57,320,255,255,255
58,150,255,255,255
59,203,255,255,255
60,203,255,255,255
61,288,255,255,255
62,203,255,255,255
63,254,255,255,255
64,216,255,255,255
65,294,255,255,255
66,267,255,255,255
67,180,255,255,255
68,160,255,255,255
69,187,255,255,255
70,155,255,255,255
71,164,255,255,255
72,321,255,255,255
73,207,255,255,255
74,184,255,255,255
75,96,255,255,255
76,348,255,255,255
77,416,255,255,255
78,332,255,255,255
79,224,255,255,255
80,419,255,255,255
81,238,255,255,255
82,172,255,255,255
83,378,255,255,255
84,226,255,255,255
85,195,255,255,255
86,249,255,255,255
87,134,255,255,255
88,206,255,255,255
89,186,255,255,255
90,273,255,255,255
91,167,255,255,255
92,145,255,255,255
93,246,255,255,255
94,182,255,255,255
95,165,255,255,255
96,234,255,255,255
97,309,255,255,255
98,422,255,255,255
99,181,255,255,255
100,405,255,255,255
101,170,255,255,255
102,182,255,255,255
103,420,255,255,255
104,386,255,255,255
105,247,255,255,255
106,239,255,255,255
107,244,255,255,255
108,234,255,255,255
109,259,255,255,255
110,82,255,255,255
111,325,255,255,255
112,186,255,255,255
113,229,255,255,255
114,203,255,255,255
115,382,255,255,255
116,112,255,255,255
117,176,255,255,255
118,226,255,255,255
119,215,255,255,255
120,166,255,255,255
121,228,255,255,255
122,317,255,255,255
123,208,255,255,255
124,228,255,255,255
125,351,255,255,255
126,313,255,255,255
127,188,255,255,255
128,247,255,255,255
129,179,255,255,255
130,305,255,255,255
131,192,255,255,255
132,347,255,255,255
133,212,255,255,255
134,372,255,255,255
135,210,255,255,255
136,467,255,255,255
137,209,255,255,255
138,335,255,255,255
139,284,255,255,255
140,297,255,255,255
141,192,255,255,255
142,305,255,255,255
143,280,255,255,255
144,297,255,255,255
145,220,255,255,255
146,226,255,255,255
147,212,255,255,255
148,244,255,255,255
149,344,255,255,255
150,203,255,255,255
151,222,255,255,255
152,261,255,255,255
153,220,255,255,255
154,97,255,255,255
155,88,255,255,255
