 ,Area,Mean,Min,Max
1,229,255,255,255
2,283,255,255,255
3,325,255,255,255
4,910,255,255,255
5,538,255,255,255
6,1196,255,255,255
7,935,255,255,255
8,332,255,255,255
9,1077,255,255,255
10,1760,255,255,255
11,1277,255,255,255
12,2209,255,255,255
13,2339,255,255,255
14,1050,255,255,255
15,851,255,255,255
16,2448,255,255,255
17,1294,255,255,255
18,1413,255,255,255
19,742,255,255,255
20,987,255,255,255
21,1122,255,255,255
22,1483,255,255,255
23,1158,255,255,255
24,1097,255,255,255
25,1526,255,255,255
26,915,255,255,255
27,609,255,255,255
28,391,255,255,255
